"Ciudad","Estado del cielo","Temperatura (C)","Probabilidad de lluvias","Viento","Humedad","Porcentaje de nubosidad"
"A Coruna","WEAK_SHOWERS,PARTLY_CLOUDY,SUNNY,PARTLY_CLOUDY,PARTLY_CLOUDY,WEAK_SHOWERS","[13.0, 12.0, 11.0, 11.0, 11.0, 11.0]","[0, 0, 0, 0, 0, 0]","[fuerza= 2.18 - direction= 160.26, fuerza= 3.14 - direction= 162.05, fuerza= 4.96 - direction= 131.46, fuerza= 7.85 - direction= 129.45, fuerza= 6.86 - direction= 129.36, fuerza= 8.03 - direction= 129.51]","[79.81, 87.85, 95.1, 90.94, 92.77, 95.27]","[40.0, 40.0, 20.0, 40.0, 40.0, 30.0]"
"Lugo","WEAK_SHOWERS,WEAK_SHOWERS,WEAK_SHOWERS,WEAK_SHOWERS,WEAK_SHOWERS,PARTLY_CLOUDY","[12.0, 10.0, 9.0, 10.0, 9.0, 8.0]","[0, 0, 0, 0, 0, 0]","[fuerza= 4.37 - direction= 187.89, fuerza= 2.34 - direction= 161.98, fuerza= 4.07 - direction= 165.34, fuerza= 6.25 - direction= 151.9, fuerza= 5.75 - direction= 157.41, fuerza= 4.73 - direction= 139.67]","[78.65, 90.41, 95.81, 91.41, 92.59, 96.65]","[20.0, 30.0, 50.0, 46.88, 30.0, 20.0]"
"Ourense","PARTLY_CLOUDY,PARTLY_CLOUDY,PARTLY_CLOUDY,PARTLY_CLOUDY,PARTLY_CLOUDY,PARTLY_CLOUDY","[13.0, 13.0, 12.0, 12.0, 12.0, 12.0]","[0, 0, 0, 0, 0, 0]","[fuerza= 12.5 - direction= 145.56, fuerza= 13.68 - direction= 145.69, fuerza= 13.58 - direction= 145.88, fuerza= 13.18 - direction= 148.78, fuerza= 11.15 - direction= 147.28, fuerza= 10.49 - direction= 146.92]","[72.26, 75.22, 75.34, 77.32, 80.23, 80.42]","[32.81, 40.62, 40.0, 40.0, 40.0, 20.0]"
"Pontevedra","PARTLY_CLOUDY,PARTLY_CLOUDY,PARTLY_CLOUDY,WEAK_SHOWERS,WEAK_SHOWERS,WEAK_SHOWERS","[13.0, 13.0, 12.0, 12.0, 12.0, 12.0]","[0, 0, 0, 0, 0, 1]","[fuerza= 5.77 - direction= 230.44, fuerza= 1.22 - direction= 220.55, fuerza= 0.86 - direction= 96.97, fuerza= 1.01 - direction= 14.36, fuerza= 0.88 - direction= 8.65, fuerza= 2.84 - direction= 10.51]","[89.17, 95.14, 95.03, 95.07, 95.18, 95.62]","[43.75, 40.0, 43.75, 40.0, 40.0, 40.0]"
"Vigo","WEAK_SHOWERS,WEAK_SHOWERS,WEAK_SHOWERS,WEAK_SHOWERS,WEAK_SHOWERS,OVERCAST_AND_SHOWERS","[13.0, 13.0, 13.0, 13.0, 13.0, 12.0]","[1, 0, 0, 0, 1, 1]","[fuerza= 1.07 - direction= 239.59, fuerza= 2.94 - direction= 131.16, fuerza= 6.28 - direction= 108.69, fuerza= 7.73 - direction= 119.24, fuerza= 5.74 - direction= 113.56, fuerza= 4.58 - direction= 148.52]","[90.34, 89.75, 90.09, 90.41, 88.78, 87.81]","[50.0, 43.75, 30.0, 37.5, 50.0, 59.38]"
"Santiago de Compostela","WEAK_SHOWERS,CLOUDY,WEAK_SHOWERS,WEAK_SHOWERS,PARTLY_CLOUDY,CLOUDY","[12.0, 12.0, 10.0, 10.0, 10.0, 10.0]","[0, 0, 0, 0, 0, 0]","[fuerza= 9.27 - direction= 224.38, fuerza= 7.2 - direction= 222.36, fuerza= 0.69 - direction= 101.73, fuerza= 7.49 - direction= 140.6, fuerza= 7.46 - direction= 143.16, fuerza= 7.2 - direction= 137.98]","[91.85, 95.16, 99.6, 100.0, 100.0, 96.9]","[50.0, 50.0, 33.85, 40.0, 40.0, 70.0]"
"Ferrol","PARTLY_CLOUDY,PARTLY_CLOUDY,PARTLY_CLOUDY,PARTLY_CLOUDY,PARTLY_CLOUDY,PARTLY_CLOUDY","[13.0, 12.0, 12.0, 11.0, 11.0, 11.0]","[0, 0, 0, 0, 0, 0]","[fuerza= 0.39 - direction= 136.85, fuerza= 0.34 - direction= 332.39, fuerza= 0.66 - direction= 238.17, fuerza= 3.55 - direction= 159.3, fuerza= 3.55 - direction= 194.84, fuerza= 2.52 - direction= 181.5]","[82.6, 91.23, 95.54, 97.61, 98.43, 97.33]","[50.0, 40.0, 40.0, 20.0, 20.0, 20.0]"
